Date/Time,frame_number,frame_len,radiotap_datarate,radiotap_dbm_antsignal1,radiotap_dbm_antsignal2,radiotap_dbm_antsignal3,radiotap.dbm_antsignal_avg,wlan_radio_data_rate,wlan_radio_signal_dbm,wlan_radio_duration
 2021-05-22 19:36:26 CET,78,70,1,-15,-15,-17,-16,1,-17,304
 2021-05-22 19:36:26 CET,79,70,1,-15,-15,-18,-16,1,-18,304
 2021-05-22 19:36:26 CET,80,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,81,70,1,-10,-10,-17,-12,1,-17,304
 2021-05-22 19:36:26 CET,82,70,1,-15,-15,-18,-16,1,-18,304
 2021-05-22 19:36:26 CET,83,70,1,-15,-15,-17,-16,1,-17,304
 2021-05-22 19:36:26 CET,84,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,85,70,1,-9,-9,-18,-12,1,-18,304
 2021-05-22 19:36:26 CET,86,70,1,-14,-14,-18,-15,1,-18,304
 2021-05-22 19:36:26 CET,87,70,1,-10,-10,-18,-13,1,-18,304
 2021-05-22 19:36:26 CET,88,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,89,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,90,70,1,-10,-10,-17,-12,1,-17,304
 2021-05-22 19:36:26 CET,93,76,24,-75,-75,-75,-75,24,-75,28
 2021-05-22 19:36:26 CET,96,70,1,-14,-14,-18,-15,1,-18,304
 2021-05-22 19:36:26 CET,97,70,1,-14,-14,-18,-15,1,-18,304
 2021-05-22 19:36:26 CET,98,70,1,-10,-10,-18,-13,1,-18,304
 2021-05-22 19:36:26 CET,99,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,100,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,101,70,1,-15,-15,-17,-16,1,-17,304
 2021-05-22 19:36:26 CET,102,70,1,-10,-10,-17,-12,1,-17,304
 2021-05-22 19:36:26 CET,103,70,1,-14,-14,-18,-15,1,-18,304
 2021-05-22 19:36:26 CET,104,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,105,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,106,70,1,-15,-15,-18,-16,1,-18,304
 2021-05-22 19:36:26 CET,107,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,108,70,1,-10,-10,-17,-12,1,-17,304
 2021-05-22 19:36:26 CET,109,70,1,-10,-10,-18,-13,1,-18,304
 2021-05-22 19:36:26 CET,110,70,1,-10,-10,-18,-13,1,-18,304
 2021-05-22 19:36:26 CET,115,70,1,-10,-10,-17,-12,1,-17,304
 2021-05-22 19:36:26 CET,116,70,1,-15,-15,-17,-16,1,-17,304
 2021-05-22 19:36:26 CET,117,76,24,-75,-75,-77,-76,24,-77,28
 2021-05-22 19:36:26 CET,118,70,1,-15,-15,-17,-16,1,-17,304
 2021-05-22 19:36:26 CET,119,70,1,-15,-15,-17,-16,1,-17,304
 2021-05-22 19:36:26 CET,120,70,1,-15,-15,-18,-16,1,-18,304
 2021-05-22 19:36:26 CET,121,70,1,-14,-14,-18,-15,1,-18,304
 2021-05-22 19:36:26 CET,122,70,1,-10,-10,-18,-13,1,-18,304
 2021-05-22 19:36:26 CET,123,70,1,-15,-15,-18,-16,1,-18,304
 2021-05-22 19:36:26 CET,124,70,1,-10,-10,-17,-12,1,-17,304
 2021-05-22 19:36:26 CET,125,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,126,76,24,-75,-75,-75,-75,24,-75,28
 2021-05-22 19:36:26 CET,127,70,1,-14,-14,-18,-15,1,-18,304
 2021-05-22 19:36:26 CET,128,70,1,-15,-15,-18,-16,1,-18,304
 2021-05-22 19:36:26 CET,129,70,1,-14,-14,-18,-15,1,-18,304
 2021-05-22 19:36:26 CET,130,70,1,-14,-14,-18,-15,1,-18,304
 2021-05-22 19:36:26 CET,131,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,134,76,24,-74,-74,-77,-75,24,-77,28
 2021-05-22 19:36:26 CET,135,70,24,-75,-75,-77,-76,24,-77,28
 2021-05-22 19:36:26 CET,136,88,24,-75,-75,-77,-76,24,-77,32
 2021-05-22 19:36:26 CET,137,410,1,-8,-8,-15,-10,1,-15,3024
 2021-05-22 19:36:26 CET,140,70,1,-10,-10,-17,-12,1,-17,304
 2021-05-22 19:36:26 CET,141,70,1,-10,-10,-17,-12,1,-17,304
 2021-05-22 19:36:26 CET,142,70,1,-10,-10,-18,-13,1,-18,304
 2021-05-22 19:36:26 CET,143,70,1,-14,-14,-18,-15,1,-18,304
 2021-05-22 19:36:26 CET,144,70,1,-10,-10,-18,-13,1,-18,304
 2021-05-22 19:36:26 CET,145,70,1,-10,-10,-18,-13,1,-18,304
 2021-05-22 19:36:26 CET,146,70,1,-15,-15,-17,-16,1,-17,304
 2021-05-22 19:36:26 CET,147,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,148,70,1,-10,-10,-18,-13,1,-18,304
 2021-05-22 19:36:26 CET,149,70,1,-15,-15,-18,-16,1,-18,304
 2021-05-22 19:36:26 CET,150,70,1,-14,-14,-18,-15,1,-18,304
 2021-05-22 19:36:26 CET,151,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,152,70,1,-10,-10,-18,-13,1,-18,304
 2021-05-22 19:36:26 CET,153,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,158,70,1,-10,-10,-18,-13,1,-18,304
 2021-05-22 19:36:26 CET,159,70,1,-14,-14,-18,-15,1,-18,304
 2021-05-22 19:36:26 CET,160,70,1,-15,-15,-18,-16,1,-18,304
 2021-05-22 19:36:26 CET,161,70,1,-10,-10,-18,-13,1,-18,304
 2021-05-22 19:36:26 CET,162,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,163,70,1,-15,-15,-18,-16,1,-18,304
 2021-05-22 19:36:26 CET,164,70,1,-10,-10,-18,-13,1,-18,304
 2021-05-22 19:36:26 CET,165,70,1,-15,-15,-18,-16,1,-18,304
 2021-05-22 19:36:26 CET,166,70,1,-9,-9,-17,-12,1,-17,304
 2021-05-22 19:36:26 CET,167,70,1,-15,-15,-17,-16,1,-17,304
 2021-05-22 19:36:26 CET,168,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,169,70,1,-15,-15,-17,-16,1,-17,304
 2021-05-22 19:36:26 CET,170,70,1,-15,-15,-17,-16,1,-17,304
 2021-05-22 19:36:26 CET,171,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,172,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,177,70,1,-10,-10,-18,-13,1,-18,304
 2021-05-22 19:36:26 CET,178,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,179,70,1,-14,-14,-18,-15,1,-18,304
 2021-05-22 19:36:26 CET,180,70,1,-15,-15,-18,-16,1,-18,304
 2021-05-22 19:36:26 CET,181,70,1,-10,-10,-18,-13,1,-18,304
 2021-05-22 19:36:26 CET,182,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,183,70,1,-10,-10,-17,-12,1,-17,304
 2021-05-22 19:36:26 CET,184,70,1,-15,-15,-17,-16,1,-17,304
 2021-05-22 19:36:26 CET,185,70,1,-15,-15,-17,-16,1,-17,304
 2021-05-22 19:36:26 CET,186,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,187,70,1,-14,-14,-18,-15,1,-18,304
 2021-05-22 19:36:26 CET,188,70,1,-10,-10,-18,-13,1,-18,304
 2021-05-22 19:36:26 CET,189,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,190,70,1,-14,-14,-17,-15,1,-17,304
 2021-05-22 19:36:26 CET,191,70,1,-10,-10,-18,-13,1,-18,304
 2021-05-22 19:36:26 CET,196,76,24,-75,-75,-77,-76,24,-77,28
 2021-05-22 19:36:26 CET,197,70,1,-10,-10,-18,-13,1,-18,304
 2021-05-22 19:36:26 CET,198,70,1,-14,-14,-17,-15,1,-17,304
